210,陪产假,深圳市司法局,2017.05.02,2017.05.03,"公司规定没过试用期不让休陪产假，请问我要通过什么途径来维护我的权利
		","你好，建议你拨打我局法律咨询电话咨询：0755-83053830.
		
		"
2097,关于法律职业资格证书丢失补办的程序,深圳市司法局,2017.03.18,2017.03.22,"我在深圳市司法局领取的法律职业资格证书丢失了，现在要补办需要什么手续呢？要多长时间才能够申请下来？可以授权他人帮忙到司法局去申请补办吗？如果可以的话是要写授权书吗？授权书有标准的范本吗？请详细回复咨询，谢谢！
		","你好，建议你直接拨打我局司考办电话咨询：0755-83053807.
		
		"
2448,关于与台湾户籍人士结婚的流程咨询,深圳市司法局,2017.03.15,2017.03.15,"你好，我与台湾户籍人士结婚，已在深圳办理好结婚登记，现需将资料通过公证处提交到台湾海协会审核办理，我应该提交什么资料，提交到哪里？能告诉我咨询电话和地址吗？谢谢！
		","您好，关于公证业务咨询建议通过以下几种方式：1、登录我局官方网站www.szsf.gov.cn的“在线办事”页面查询全市公证处联系方式及地址等信息并通过电话或到现场的方式进行咨询。2、关注“深圳公证处”官方微信咨询。3、添加公证业务QQ：800048259咨询。4、登录深圳公证处官网：http://www.szgz.gov.cn/进行查询。
"
2572,16年通过司法考试，何时可以领取法律职业资格证？,深圳市司法局,2017.03.13,2017.03.14,"16年通过司法考试，何时可以领取法律职业资格证？非应届生
		","你好，请致电我局司考办咨询：0755-83053807.
		
		"
2793,法律职业资格证书年度备案,深圳市司法局,2017.03.05,2017.03.08,"2016年取得的法律职业资格证书，要进行年度备案吗
		","你好，根据《广东省人民政府2012年行政审批制度改革事项目录（第一批）》（粤府令第169号）取消的行政审批事项第55项决定，2012年7月17日起，我省停止法律职业资格证书年度备案和变更备案，广东省国家司法考试网取消网上备案栏目。所以，我市不再受理备案申请。详情请电话咨询我局司考办工作人员：0755-83053807
"
3270,公职律师,深圳市司法局,2017.02.27,2017.02.28,"2016年，中共中央办公厅、国务院办公厅印发了《关于推行法律顾问制度和公职律师公司律师制度的意见》，并发出通知，要求各地区各部门结合实际认真贯彻执行。该意见（二十五）条，在党政机关专门从事法律事务工作或者担任法律顾问、在国有企业担任法律顾问，并具有法律职业资格或者律师资格的人员，经所在单位同意可以向司法行政部门申请颁发公职律师、公司律师证书。经审查，申请人具有法律职业资格或者律师资格的，司法行政部门应当向其颁发公职律师、公司律师证书。  请问，目前本人有法律职业资格证，在单位任法制员，负责行政执法类案件的审理工作，是否符合颁发公职律师证书资格？如符合，申请材料为哪些？谢谢
		","您好，建议你拨打我局律公处咨询电话：88127587或83053979。
		
		"
4185,律师跨省转所,深圳市司法局,2017.02.06,2017.02.08,"尊敬的工作人员，你们好！
    我是陕西云德律师事务所（西安）的执业律师，想了解一下由陕西转所至深圳某律师事务所执业需要做哪些工作？准备哪些材料？谢谢！
		","你好，建议你拨打我局律公处驻市民中心窗口咨询电话咨询，联系电话：0755-88127587。
		
		"
4527,请问下过了16年司考查询成绩时间能帮忙查询下成绩吗？,深圳市司法局,2017.01.17,2017.01.17,"本人之前考完后忙着写毕业论文和实习找工作，没来得急查询司考成绩，后来才发现司考过了时间就不能在网上查询了，所以非常焦急，希望您能帮下我，非常感谢！
		","你好，请拨打我局司考办电话咨询，联系电话：83053807.
		
		"
17609,深圳市华芯锂能科技有限公司恶意欠薪5个月,深圳市司法局,2015.09.02,2015.09.06,"深圳市华芯锂能科技有限公司恶意欠薪5个月，从今年4月24号停止生产，到现在9月份，200多名员工未拿到钱，公明劳动局，公明法院，中院还在处理，当是说的俩个月就能发工资，可到现在仍在拖延，员工经济困难，请您督促督促，尽快让员工们拿到工资
		","你好，你所反映的事项不属我局职能管理范围，建议等待相关部门的处理结果。
		
		"
17678,楼上违规装修后不予修复偷偷卖房怎么办,深圳市司法局,2015.09.01,2015.09.02,"您好。楼上业主违规装修打穿我家线管，造成我家断电。多次要求其修复无果。这缺德的业主居然把在我们起诉到法院之前，把房子偷偷卖了。请问： 1）接下来，我该如何维权。是否新一任业主自动背负该侵权责任，我可向法院起诉新接手业主？ 2）管理处在该过程当中是否存在什么责任？谢谢
		","你好，建议拨打我局法律咨询热线咨询：0755-83053830。
		
		"
17937,深圳怎么成了诈骗分子的天堂,深圳市司法局,2015.08.22,2015.08.24,"深圳改革的是经济发展的模式，改革的不是中国的法律，诈骗是一种犯罪，深圳市的各级政府部门为什么不管！！具体请电联我，13871389967，谢谢
		","你好，若涉及我局职能可直接通过网上来信或来件（地址：深圳市福田区景田路72号天平大厦 深圳市司法局信访办）反馈相关情况。或涉及法律咨询可直接拨打我局法律咨询电话：0755-83053830.如果涉及到投诉他人诈骗行为，建议收集证据后报警处理。
		
		"
18341,劳动仲裁时出现离职2个月后是否要承担工作责任,深圳市司法局,2015.08.08,2015.08.10,"本人5月25日在一家公司签署7天的销售培训主管岗位试工考察期工作合同，主要负责海雅百货2个店3个柜台的人员培训工作（不固定在一个柜台上下班，主要职责是培训+销售业绩管理），合同到期后选择不续签且离职，离职是合同到期后的第二天去公司办理的，当时公司并未要求做交接且延迟离职时间要求。目前离职过去2个多月，仍不愿意发放本人工作7天的工资，目前申请劳动仲裁。仲裁过程中其公司命我承担工作7天内出现的货品流失、专柜因无人而面临撤柜。本人认为工作7天内并无盘点货品事宜且其公司运营出现问题导致人员流失率很大，本人也不负责固定一家专柜销售及人员招聘工作，所出现的货品丢失及面临撤柜（目前还未撤柜）责任不该承担。请问其公司要求合法吗？
		","您好，建议您直接拨打我局法律咨询热线电话：83053830。
		
		"
20097,关于强制执行,深圳市司法局,2015.05.21,2015.05.26,"去年9月份由于劳动争议，经过几个月的审理，法院判决公司支付我们工资，但由于原公司不执行法院判决，本人又去南山法院申请了强制执行，但从去年11.28至今都没有结果，打电话去问杨大雄法官，从来都没有接电话，每次都是他的助理忽悠我们，说下周告诉我们结果，可是这都几个月了，不知道到底是一个什么样的流程和程序，我应该找谁解决，谢谢
		","张毅：
??? 您所反映的事项不属我局职权范围，建议您直接向法院反映相关情况。
"
21156,公民合法财产可以因为没有发票而没收充公吗,深圳市司法局,2015.03.21,2015.03.24,"本人于2015年3月19日星期四的早上八点骑着一辆山地自行车（型号：喜德盛，英雄350，价值RMB2770元）去公司上班，被桥头的治安人员拦下，怀疑我的单车是偷来的，后被带回桥头警务室做调查，警务人员说要拿发票过来取，没有发票一律充公，我很是郁闷和气氛，难道没有发票就不能拿回我的单车了吗，他们根据的是什么法律，他们这是在搞罪推论，先认定我有罪，然后让我证明自己是清白的，目前国家已经明令禁止这种做法了，为什么他们还可以这样为所欲为，我也是一名遵纪守法，依法纳税的合法公民，只想要一个对得起社会大众的公正说法，不想某天再次因为没有发票而没收我们的财物，谢谢！
		","刘凯：
??? 您好，请向我局法律热线咨询：0755-83053830。
"
21477,幼儿园要刚患癫痫幼儿退学,深圳市司法局,2015.03.02,2015.03.02,"我已说明可以签，如因病发生意外，幼儿园免责的协议。园方仍要我们退学
		","李长宏：
??? 您好，您所反映的事项不属我局职能范围，建议您向教育局等有关部门寻求咨询或帮助。
"
21586,关于“法治深圳”设计大赛的咨询,深圳市司法局,2015.02.06,2015.02.11,"您好，“法治深圳”公益设计大赛已于1月30日召开新闻发布会，公布了获奖名单，请问后续获奖者如何领奖，什么时间颁奖呢？谢谢！
		","陆卫婵：
??? 您好，获奖者由深圳新闻网负责通知，现已陆续发放奖项，请于留意查收。
"
22391,我市律师协会是什么机构？,深圳市司法局,2014.12.19,2014.12.19,"我市律师协会是什么机构？ 
		","深圳市律师协会是依照《中华人民共和国律师法》和相关法律成立的行业自律性组织，是由深圳市全体律师组成的社会团体法人，受深圳市司法行政机关的领导、监督和上级律师协会的指导，依法对深圳律师实施行业管理。? 
		
		"
22394,律师要怎么参与“一社区一法律顾问”工作？,深圳市司法局,2014.12.19,2014.12.19,"律师要怎么参与“一社区一法律顾问”工作？
		","各区可以按照不同的要求，确定配置法律顾问的条件。但是，选取作为法律顾问的律师事务所必须有3名以上专职律师，内部制度健全；选取作为法律顾问的律师必须经过严格筛选，有以下要求：1.政治立场坚定，具有大局意识、善于解决矛盾纠纷，热心公益；2.具有1年以上执业经历；3.近三年未受到行政处罚和行业处分。
"
22395,社区法律顾问的具体工作内容是什么？,深圳市司法局,2014.12.19,2014.12.19,"社区法律顾问的具体工作内容是什么？
		","??? 法律顾问进驻社区后，工作内容主要有如下几项：（一）为社区治理提供法律意见（二）为群众提供法律咨询（三）为符合条件的群众提供法律援助（四）开展法制宣传（五）参与人民调解工作。
		
		"
22898,律师可以从事哪些法律服务？,深圳市司法局,2014.11.25,2014.11.26,"律师可以从事哪些法律服务？
		","王小明：
??? 你好！请参考律师法28条。
????????????? 深圳司法局信访办
"
23569,申请设立面向社会服务司法鉴定机构应具备哪些条件？需哪些材料？,深圳市司法局,2014.09.19,2014.09.19,"申请设立面向社会服务司法鉴定机构应具备哪些条件？需哪些材料？
		","应具备的条件主要有：（1）有自己的名称和章程；（2）有固定的执业场所；（3）有不少于人民币50万元的注册资产；（4）有与所开展司法鉴定业务相关的仪器设备；（5）有6名以上符合司法部规定条件，具有司法鉴定人资格或符合相应条件的专职人员；（6）面向社会服务司法鉴定机构的负责人应当有高级职称或8年以上从事司法鉴定或行业鉴定工作的经历，从事过鉴定的复核工作。应提交的材料有：（1）司法鉴定机构设立登记申请书；（2）司法鉴定机构设立登记申请表、司法鉴定人执业资格认证表；（3）鉴定机构章程；（4）办公场所使用证明（房产证、房产租赁证明、协议等）；（5）资产证明及流动资金证明；（6）营业执照或成立批文，新设立司法鉴定机构免该项材料；（7）机构负责人及专职、兼职鉴定人的名单、简历、身份证、学历证书、专业资格证书、技术职称证书、执业年限证明（由行业管理部门或行业协会出具）、执业证书；（8）每个鉴定人近三年出具的相应专业的鉴定书复印件，每年3件；（9）主要鉴定仪器设备目录（包括仪器名称、型号、主要功能、数量、价值、出厂年月、使用年限）；（10）行业主管部门推荐意见。???
		
		"
23570,持有残疾证书的残疾人申请法律援助享受有哪些优待？,深圳市司法局,2014.09.19,2014.09.19,"持有残疾证书的残疾人申请法律援助享受有哪些优待？
		","持有户籍所在地残疾人联合会颁发的残疾证书的残疾人申请法律援助享受以下优待：（一）可以优先获得法律援助咨询和法律援助申请的受理；（二）可以电话预约办理法律援助申请手续；（三）可以电话申请法律援助上门服务；（四）申请事项属于深圳市法律援助机构受理范围且现居住在本市以外的残疾人可以采取邮寄方式申请法律援助，但需附当地法律援助机构出具的已对其申请材料和证件原件审核的证明。
"
23574,律师执业年限,深圳市司法局,2014.09.18,2014.09.19,"我想咨询下，一般律师执业年限该如何计算？ 
		","除律师执业证书因违法被司法行政机关依法吊销或本人承诺放弃的执业经历外，律师的执业经历均有效。
		
		"
23577,不满十八周岁的未成年人申请法律援助有优待吗？,深圳市司法局,2014.09.18,2014.09.19,"不满十八周岁的未成年人申请法律援助有优待吗？
		","不满十八周岁的未成年人申请法律援助享受以下优待：（一）可以由未成年人的法定代理人代为申请；（二）没有法定监护人或与监护人之间发生纠纷的未成年人，可以由与该争议事项无利害关系的其他法定代理人代为申请法律援助；????????????????? （三）没有法定监护人或与监护人之间发生纠纷的未成年人申请法律援助，只需提交申请人属于无法定监护人或与监护人之间发生纠纷的证明材料，无须另行提交经济困难证明。
		
		"
23581,对公证处出具的公证书或者作出的决定不服的要如何处理？,深圳市司法局,2014.09.19,2014.09.19,"对公证处出具的公证书或者作出的决定不服的要如何处理？
		","??? 当事人、与公证事项有利害关系人对公证处出具的公证书或者作出的撤消、不予撤消公证书或作出不予受理的决定有异议的，可以自知道之日起六十日内向公证处的本级司法行政机关提出申诉。??? 申诉人对司法行政机关作出的决定不服的，可以在规定期限内向上一级司法行政机关申请行政复议或直接向法院提起行政诉讼。
		
		"
23582,如何取得司法鉴定人资格？,深圳市司法局,2014.09.18,2014.09.19,"如何取得司法鉴定人资格？ 
		","司法鉴定人资格的取得，实行全国统一的考试、考核制度。考试、考核必须具备下列基本条件：（1）拥护中华人民共和国宪法；（2）遵守国家法律和社会公德，品行端正；（3）具有高等院校大学本科以上学历并经国务院司法行政部门认可的司法鉴定专业培训，或具有高等院校司法鉴定相关专业专科以上学历并有两年以上专业实践经历。现已在司法鉴定机构从事司法鉴定工作的专业技术人员和在行业鉴定机构从事行业鉴定工作的专业技术人员申请司法鉴定人职业资格的，经考核可授予司法鉴定人职业资格。
		
		"
23583,个人能否依托单位申请司法鉴定人执业证？,深圳市司法局,2014.09.18,2014.09.19,"个人能否依托单位申请司法鉴定人执业证？ 
		","根据《司法鉴定人登记管理办法》第十二条　个人申请从事司法鉴定业务，应当具备下列条件：（一）拥护中华人民共和国宪法，遵守法律、法规和社会公德，品行良好的公民；（二）具有相关的高级专业技术职称；或者具有相关的行业执业资格或者高等院校相关专业本科以上学历，从事相关工作五年以上；（三）申请从事经验鉴定型或者技能鉴定型司法鉴定业务的，应当具备相关专业工作十年以上经历和较强的专业技能；（四）所申请从事的司法鉴定业务，行业有特殊规定的，应当符合行业规定；（五）拟执业机构已经取得或者正在申请《司法鉴定许可证》；（六）身体健康，能够适应司法鉴定工作需要。第十三条　有下列情形之一的，不得申请从事司法鉴定业务：（一）因故意犯罪或者职务过失犯罪受过刑事处罚的；（二）受过开除公职处分的；（三）被司法行政机关撤销司法鉴定人登记的；（四）所在的司法鉴定机构受到停业处罚，处罚期未满的；（五）无民事行为能力或者限制行为能力的；（六）法律、法规和规章规定的其他情形。
"
23589,实习律师实习期满通过考核后要在多长时间内申请执业？,深圳市司法局,2014.09.18,2014.09.18,"实习律师实习期满通过考核后要在多长时间内申请执业？ 
		","根据《律师法》的规定，实习人员经律师协会考核成绩合格后，可向司法行政机关提请申请律师执业证书。申请材料窗口：市行政服务大厅西厅36号窗口。
		
		"
23595,领取法律职业资格证书,深圳市司法局,2014.09.18,2014.09.18,"本人已通过2013年司法考试，已申请了资格证也拿到了回执，想咨询几时能领取到法律资格证书？是否会有相关公告？
		","通过2013年国家司法考试的2014年应届本科毕业生法律职业资格证书将于9月下旬集中发放，具体发放时间请关注深圳市司法局网站（http://www.szsf.gov.cn/），若因故无法领取的，请提前一天致电83053807预约领取时间。? 
"
24201,法律资格证书,深圳市司法局,2014.06.23,2014.06.23,"你好，我在山东领取的法律职业资格证书，现在在深圳工作，我想以后每年在深圳进行证书的年度备案，请问我应该怎么做？谢谢
		","根据《广东省人民政府2012年行政审批制度改革事项目录（第一批）》（粤府令第169号），我省取消了法律职业资格证书年度备案、变更备案，以及律师资格档案调取审核，根据省司法厅的安排，我局司法考试办不再受理法律职业资格证书年度备案、变更备案以及法律职业资格证调档的申请。? 咨询电话：83053807
"
24313,大四学生是否拥有劳动主体资格，参加全职工作是否需签劳动合同？,深圳市司法局,2014.05.30,2014.06.03,"你好，我是一名本科大四学生，今年7月份毕业。从去年暑假8月份开始进入一家深圳外贸公司工作，从事全职工作，之后签订了一份劳动合同，但现在被认定为无效合同。因公司拒绝支付工资而发生劳动争议，因合同被认定无效，公司转而以我是学生身份为由否认需要签订劳动合同。本人拥有学校发放的《就业推荐表》和《“三方协议”》。在此迫切希望得知是否具有就业资格，以保障我的合法劳动权益。此致
		","法律咨询电话：83053830
"
25160,在深设立个人律师事务所,深圳市司法局,2013.11.14,2013.11.15,"您好！ 我是在重庆市设立登记的个人律师事务所，因家庭原因需到深圳执业。请问，能否将律所的执业场所迁移到深圳执业，并直接更名为深圳的律师事务所？即直接将重庆XXX律师事务所直接更名为深圳XXX律师事务所，而将执业地址迁移到深圳？如果不行，是否必须在深圳另行申请律师事务所？
		","马晨舒: ??? 你好！根据司法部《律师事务所管理办法》（2008年7月18日司法部令第111号发布,根据2012年11月30日司法部令第125号修正）第二十五条的规定，律师事务所拟将住所迁移其他省、自治区、直辖市的，应当按注销原律师事务所、设立新的律师事务所的程序办理。目前，您如果计划到深圳执业，根据法律的规定，须重新设立新的律师事务所或转入我市的律师事务所执业。如有其他疑问，请电话联系0755-83053924。 ????????????????? 深圳司法局信访办
"
25161,三星手机的公证,深圳市司法局,2013.11.14,2013.11.15,"请问你们是不是公证过韩国三星手机的活动，我接到说是你们公证的，公证电话是0755-36643502
		","没有，不要听信中奖信息，防止上当受骗。
"
25162,如何申请登记司法鉴定机构,深圳市司法局,2013.11.14,2013.11.15,"您好！我们准备申请登记司法鉴定机构、开展司法鉴定业务，通过研读2006年省司法厅发布的《关于司法鉴定机构、司法鉴定人登记管理工作实施办法》（粤司办[2006]77号），有一些疑问.文件提到申请设立司法鉴定机构必须具备下列条件：‘每项司法鉴定业务有三名以上专职司法鉴定人’，请问申请司法鉴定机构的登记和司法鉴定人的登记可否同步进行，管理部门同时进行审批？因为一家公司被允许开展司法鉴定业务之前是没有专职司法鉴定人员的，如果不允许同时登记司法鉴定人，如何满足文件关于鉴定人员人数的要求？
		","周明晨: ??? 你好！申请司法鉴定机构的登记和司法鉴定人的登记是同时进行登记的。《司法鉴定机构登记管理办法》第三章申请登记第十三条，司法鉴定机构的登记事项包括：名称、住所、法定代表人或者鉴定机构负责人、资金数额、仪器设备和实验室、司法鉴定人、司法鉴定业务范围等。如有其他疑问，请电话联系0755-83053993。 ????????????????? 深圳司法局信访办
"
25163,报名2014年司法考试,深圳市司法局,2013.11.14,2013.11.15,"你好， 我是现役军人，驻地在外省，但常在深圳，拥有二代居民身份证（军人类型，无户籍）。法律专业本科毕业、取得学位证、毕业证。按照现行2013年的政策，我可以在深圳参加司法14年考试吗？
		","楚乔生: ??? 你好！2014年的报考政策尚未出台，若需了解往年情况可登陆深圳国家司法考试网http://www.szsf.gov.cn/sfks/查看，或拨打司考办电话咨询0755-83053807。 ????????????????? 深圳司法局信访办
"
25425,取消律师职业资格证,深圳市司法局,2013.09.16,2013.09.17,"您好！我朋友已有律师执业资格证并从事律师职业多年，现在不想做律师了，是应该申请注销还是暂停律师执业资格证呢？需要办理哪些手续？如何办理？ 谢谢
		","??? 根据省司法厅的规定，我省目前没有暂停律师执业的程序，一般停止执业，建议申请注销律师执业证书。具体程序如下：一、通过您所在的律师事务所提起注销律师执业证书的电子申请；二、向市行政服务大厅西厅36号窗口提交的书面的材料： 1、律师注销执业申请表； 2、律师执业证（律师工作证）原件； 3、所在律师事务所出具的申请人在该所业务办结（或交接完毕）、财务、档案等交接手续证明； 4、申请人与所在律师事务所聘用合同期满或者解除聘用关系证明；三、联系方式：82107587。
"
25426,2013年毕业的法医学博士，能否依托单位申请司法鉴定人执业证？,深圳市司法局,2013.09.16,2013.09.17,"2013年毕业的法医学博士，能否依托单位申请司法鉴定人执业证？
		","??? 根据《司法鉴定人登记管理办法》第十二条　个人申请从事司法鉴定业务，应当具备下列条件：（一）拥护中华人民共和国宪法，遵守法律、法规和社会公德，品行良好的公民；（二）具有相关的高级专业技术职称；或者具有相关的行业执业资格或者高等院校相关专业本科以上学历，从事相关工作五年以上；（三）申请从事经验鉴定型或者技能鉴定型司法鉴定业务的，应当具备相关专业工作十年以上经历和较强的专业技能；（四）所申请从事的司法鉴定业务，行业有特殊规定的，应当符合行业规定；（五）拟执业机构已经取得或者正在申请《司法鉴定许可证》；（六）身体健康，能够适应司法鉴定工作需要。第十三条　有下列情形之一的，不得申请从事司法鉴定业务：（一）因故意犯罪或者职务过失犯罪受过刑事处罚的；（二）受过开除公职处分的；（三）被司法行政机关撤销司法鉴定人登记的；（四）所在的司法鉴定机构受到停业处罚，处罚期未满的；（五）无民事行为能力或者限制行为能力的；（六）法律、法规和规章规定的其他情形。 咨询电话：83053996；83053990
"
25427,实习律师实习期满通过考核后要在多长时间内申请执业？,深圳市司法局,2013.09.16,2013.09.17,"实习律师实习期满通过考核后要在多长时间内申请执业？
		","??? 根据《律师法》的规定，实习人员经律师协会考核成绩合格后，可向司法行政机关提请申请律师执业证书。申请材料窗口：市行政服务大厅西厅36号窗口。咨询电话：82107587
"
25526,国家认证颁发的“公证书”,深圳市司法局,2013.08.22,2013.08.23,"国家认证颁发的“公证书”，是不是国家认可的一种有效证明和证据？
		","房红艳： ??? 你好！你咨询的问题已请市公证处予以回复。 ?????????????????????????? 深圳司法局信访办
"
25540,买房委托公证,深圳市司法局,2013.08.19,2013.08.20,"你好，我是杜红 重庆的。现委托妈妈在家里买房并办理按揭贷款。听说要办理委托公证，想请问一下需要哪些资料？现在是去宝安还是龙岗办理？
		","杜红： ??? 你好！公证咨询电话：83053935 ?????????????????????? 深圳司法局信访办
"
25697,今年司法考试报名什么时候开始现场确认？,深圳市司法局,2013.07.02,2013.07.02,"我已报名司法考试，现想咨询下什么时候开始现场确认？
		","今年国家司法考试实行网上报名方式。深圳考区报名人员通过网上填报报名信息、交纳考试费、下载打印准考证，不再进行现场确认。 报名时间为6月16日至7月5日。请你务必在上述期限登录司法部网站（http://www.moj.gov.cn），按照网上报名要求、流程及步骤进行网上报名。 ??????????????????????????????????????????????
"
25699,成为公司律师的条件及向哪里提出申请？,深圳市司法局,2013.07.02,2013.07.02,"咨询下成为公司律师的条件以及应该向哪里提出申请？
		","以《司法部关于开展公司律师试点工作的意见》做为开展该项工作的依据，2005年10月11日，广东省司法厅下发了《关于进一步加强和规范公司律师试点工作若干意见》，我局根据上述的规定，积极开展了探索和推广公司律师试点工作。通过对我市试点单位的服务，我们的经验不断得到提高、管理规范也日臻有序。就现阶段，我们认为申请开展公司律师试点工作除具备司法部和省司法厅的相关管理要求外，还须做到：一、法律事务工作基础较好、制度完善、规模较大，企业具有产业代表性；二、开展公司律师试点确有工作的需要和能体现公司律师作用；三、企业主动向我们申请；四、逐步在企业建立公司制度。申请公司律师的流程：一、没有未获得省司法厅开展公司律师试点同意复批文件的企业，需由企业向我局提出开展公司律师试点工作的申请。二、获准后，可向我们提交个人执业证申请的材料，材料清单基本可以参考司法局门户网站“律师执业证申请指南”。 ????????????????????????????????????????????????????????
"
25700,关于香港居民报考司法考试,深圳市司法局,2013.07.02,2013.07.02,"您好！我是香港居民，想报考司考。但是有以下几点想请问一下： 1.我知道要提交学历和学历认证，因我的本科是在香港读的，那就需要认证。但整个报名过程都在网上进行，请问要怎样提交呢？另外，因为认证需时，恐怕不能在报名截止前提交，能后补吗？ 2.我看见报名表上对香港身份证需要公证，请问这个有是什么手续啊？
		","持香港、澳门、台湾地区高等学校或者国外高等学校学历学位证书的，须同时具有由教育部留学服务中心出具的学历学位认证书。网上填报信息时，根据系统提示填写学历学位认证书的编号和认证日期，并保留好学历学位认证书，以便资格证申领阶段提交验证。深圳市学历学位验证点为“深圳市人事人才服务中心”。地址：深圳市福田区深南大道1025号新城人才大厦东座二楼，联系电话：0755-25985107。传真：0755-25943020。符合报名条件的香港居民在网上报名时须准备好身份证件及经中国委托公证人出具的身份证件证明书。该证明书由报名人员自行在香港向相关机构提出申请。深圳司法考试办公室电话：0755-83053807。?
"
