受理意见,咨询主题,咨询人,咨询内容,咨询日期,处理单位,处理状态
尊敬的市民，您好！生育津贴发放规定：如员工满足分娩当月和前一个月在本市通过单位参生育保险的前提下，同时符合国家生育政策的，分娩时连续参加生育保险足12个月的条件且申请生育医疗费用的时间为2017年3月1日后的，根据《关于调整珠海市职工生育保险生育津贴发放方式有关问题的通知》（http://www.zhsi.gov.cn/zhsi_news/subpage_content.jsp?bm=bm06&cid;=19&id;=27927），生育津贴将划入单位缴纳社保的银行账号。分娩女职工在产假期间的工资将由用人单位按照女职工原工资标准（原工资标准，是指女职工依法享受产假或者计划生育手术假前12个月的月平均工资）正常支付工资。生育津贴发放到单位帐户上单位是不需要去申请，员工生育医疗费报销后的次次月初按月发放到单位社保缴费帐户上，顺产按3个月发剖腹产按4个月发放，感谢您对我们工作的支持！,生育津贴,唐*****,4月17生的小孩，不知什么时候发生育津贴！怎么知道公司发的和社保局发的一样多？,2017-05-24 15:16:01,市人力资源和社会保障局,办结
同意平沙镇回复：经了解，目前我镇未有原地拆建的政策。平沙镇的住房问题已积极向上级相关部门反映，但目前尚未有政策支持。另，目前控停中的房屋暂不可以沿用以往危房改造政策。请您理解和支持！此复 2017年6月1日,平沙农房改造,张*****,关于平沙农场农房改造问题，我曾分别咨询过平沙国土所及平沙农房办，但均未能了解到具体政策，农房办只是告知目前是控停状态，不允许自行拆建。但并未告知控停的理由及相关政策支持。目前，平沙农场有不少在原住处新建两层的房子不能封顶，一方面没有达到改善职工住房条件的目的，另一方面，长期未完工的工地也存在很多潜在的安全隐患。平沙农场有许多老一辈职工买不起商品房，他们为平沙农场奉献了一辈子的青春，有强烈改善住房条件的诉求，还请区政府加以重视并给予明确的指引，何时能制定新的农房改造政策？何时恢复自建房及提供建筑标准？在新政策出来之前是否可以沿用旧的政策？盼回复,2017-05-24 14:22:09,高栏港经济区,办结
"尊敬的市民，您好！您已有单，该单已转部门跟进，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。感谢您对我热线的支持和理解,谢谢。",人才引进计划生育证明,彭*****,您好！我的情况是这样的：已在珠海工作4年多，并已在珠海购置房产，育有两个小孩，其中第二个小孩属于政策外出生（2015年）， 3月初参考2-28日的人才引进指南 提交了全日制本科人才直接核准引进入户申请，但发现3-15日更新的指南中增加了不能违反计划生育的硬性条件，目前我网上的申请已经预审通过，现在的问题是：1、按照新的指南我无法申请落户，那我现在预审又通过了，该怎么取消和处理？2、珠海市新的户口迁移管理管理目前已经出了修订版，新版本中已经允许有违反生育记录并已处理的人才落户，请问这个新规定何时生效实施？3、去年国家就已经放开二胎政策，珠海今年的人才引进政策为何还要墨守不合适宜的计生政策？以上疑问，若表述不当还请见谅。请政府部门和领导能够体恤普通老百姓的诉求，真正落实引进人才优惠政策的本质，相信会有越来越多的外来务工人员落户珠海，为珠海的未来贡献自己的青春和能量，咱们珠海才会越来越好！,2017-05-23 23:15:04,市人力资源和社会保障局,办结
"尊敬的市民，您好！您已有单，该单已转市商务局，因此此单不再重复转办。感谢您对我热线的支持和理解,谢谢。",劳务诈骗,黄*****,去年12月19号，我在珠海市迎聚商务有限公司面试赴澳门的土木工程师的工作成功以后，他的公司老板黄春春叫我交了13000块的中介费用办证。说好今年三月份能办好劳务证，但等到四月份都还没有办好证件，我就叫他退钱退证，然后答应我5月15号能退钱退证。那天我就去公司，但门已关，打电话不接，微信不回。所以。。。,2017-05-23 23:14:10,市商务局,办结
尊敬的市民，您好！根据《工商行政管理部门处理消费者投诉办法》第十二条 消费者通过信函、传真、短信、电子邮件和12315网站投诉平台等形式投诉的，应当载明：消费者的姓名以及住址、电话号码等联系方式；被投诉人的名称、地址；投诉的要求、理由及相关的事实根据；投诉的日期等。请您再次下单补充具体内容，以便部门解决您的问题。,欺诈消费,杨*****,我要投诉旭升聚友汽车咨询服务有限公司欺诈消费，骗我交三千元押金不退给我。      被投诉人：高占友       被投诉人手机号：15015916721     地址：香洲区云顶澜山东北门,2017-05-23 21:10:32,市工商局,办结
"尊敬的市民，您好!应届毕业生可以按毕业生接收方法来入户珠海，用人单位应与劳动者建立规范的劳动关系,依法办理就业登记和参加社会保险，人才引进入户的条件可以浏览以下网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201701/P020170123639631257864.pdf  办事指南浏览此网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201702/t20170228_16255641.html。（机关事业单位、国内高等院校珠海校区除外）感谢您对我们工作的支持。",珠海市应届毕业生入户,许*****,您好。我是珠海暨南大学的应届毕业生。开学时我把户口迁到学校集体户口，地址是在广州天河，毕业后需要迁出。我在暨大珠海校区学习四年，现在签约的公司是外企，没有集体户口，不过想毕业后把户口迁入珠海市才市场。请问我能迁进来吗？可以的话我需要办理什么流程？落户地址和档案地址怎么填写？谢谢!,2017-05-23 16:33:06,市人力资源和社会保障局,办结
"您好！您所咨询事项，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。

                                        户政中心
                                    2017年5月25日",小孩的身份证过期了如果更换,李*****,我小孩今年八岁，是珠海市夏湾春泽居委会的集体户口，身份证今年10月份将到期，现在需提供哪些资料在哪里更换新的身份证？必须在到期之前多长时间才能更换？谢谢！,2017-05-23 14:37:52,市公安局,办结
工商银行联名卡的相关功能目前还处于试运行阶段，由于中国人民银行在2016年年底发布通知（银发〔2016〕261号），对所有银行卡及金融转账业务做出了新的规范和要求。目前工商银行公积金联名卡根据人行上述通知，需要重新调整，调整后会尽快恢复开卡业务。,办理公积金联名卡,肖*****,公积金联名卡停办了吗？为什么本人带着公积金存折去工商银行办理联名卡，银行说联名卡已经停办了？,2017-05-23 12:48:30,市住房公积金管理中心,办结
您好，您的问题我们已安排专人电话联系您，高层次人才申报为每年一次，今年尚未启动，故暂时未开放申报入口。感谢您对我们工作的关注和支持！,高层次人才申报,孙*****,你好网上申请高层次人才的入口在哪里，只看到有查询,2017-05-23 11:31:39,市人力资源和社会保障局,办结
"尊敬的市民，您好!现在可以按人才引进的方法来入户珠海和调入档案，用人单位应与劳动者建立规范的劳动关系,依法办理就业登记和参加社会保险，人才引进入户的条件可以浏览以下网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201701/P020170123639631257864.pdf  办事指南浏览此网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201702/t20170228_16255641.html。（机关事业单位、国内高等院校珠海校区除外），因文件内容较多不能一一解释，如您看到有哪一点不明白可以提出来部门为您解答，感谢您对我们工作的支持。",应届本科生或非应届本科生如何直接落户珠海,庄*****,问题一，应届本科生如何直接落户珠海，能否告知具体整个流程和每个流程要交的资料，因为百度和在人保局网站看了很久也没看懂，这个建议贵局作为民生工程来做，会受益很多人，因为很多人跟我一样看不懂。问题二，应届本科生如何将档案报到证搞到珠海。问题三，应届本科生可否等明年变成非应届本科生后，直接凭学历一样证明直接入户珠海，而不需各种杂七杂八证明，若需要还缺什么,2017-05-23 09:24:18,市人力资源和社会保障局,办结
"尊敬的市民，您好!珠海现在已经取消积分制入户，现在可以按人才引进的方法来入户珠海，用人单位应与劳动者建立规范的劳动关系,依法办理就业登记和参加社会保险，人才引进入户的条件可以浏览以下网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201701/P020170123639631257864.pdf  办事指南浏览此网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201702/t20170228_16255641.html。（机关事业单位、国内高等院校珠海校区除外）感谢您对我们工作的支持。",积分入户,梁*****,怎样办理积分入户，需要达到什么要求，要哪些材料？,2017-05-22 22:01:52,市人力资源和社会保障局,办结
尊敬的市民，您好！根据《工商行政管理部门处理消费者投诉办法》第十二条 消费者通过信函、传真、短信、电子邮件和12315网站投诉平台等形式投诉的，应当载明：消费者的姓名以及住址、电话号码等联系方式；被投诉人的名称、地址；投诉的要求、理由及相关的事实根据；投诉的日期等。请您再次下单补充具体内容，以便部门解决您的问题。,欺诈消费,杨*****,旭升聚友汽车咨询服务有限公司欺诈消费，描述的与实际操作不符，还强行不退押金，不诚信,2017-05-22 20:46:49,市工商局,办结
胡小姐你好，感谢你对珠海国资的关注。珠海目前共有市属（含重要二级公司）共计16家，各市属企业信息详见我委门户网站。,珠海一共有多少家市属企业,胡*****,珠海一共有多少家市属企业?请尽快回答。,2017-05-22 15:45:48,市国资委,办结
"尊敬的市民，您好!现在可以按人才引进的方法来入户珠海，用人单位应与劳动者建立规范的劳动关系,依法办理就业登记和参加社会保险，人才引进入户的条件可以浏览以下网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201701/P020170123639631257864.pdf  办事指南浏览此网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201702/t20170228_16255641.html。（机关事业单位、国内高等院校珠海校区除外）感谢您对我们工作的支持。",珠海市应届毕业生入户,许*****,您好。我是珠海暨南大学的应届毕业生。开学时我把户口迁到学校集体户口，地址是在广州天河，毕业后需要迁出。我在暨大珠海校区学习四年，现在签约的公司是外企，没有集体户口，不过想毕业后把户口迁入珠海市才市场。请问我能迁进来吗？可以的话我需要办理什么流程？落户地址和档案地址怎么填写？谢谢!,2017-05-22 14:59:11,市人力资源和社会保障局,办结
尊敬的市民，您好！如果是达到法定退休年龄社保未满15年符合在珠海退休条件（省外户籍人员在珠海建立非临时帐户（即是一般帐户）在法定退休年龄内在广东省内参加养老保险累计满10年且珠海是最后参保地，省内市外户籍人员在法定退休年龄内在珠海连续参保满5年且珠海是最后参保地）可以带身份和户口本到社保前台申请延缴手续，延缴5年再一次性缴费办理退休，感谢我们工作的支持。,购买城乡居民社保未满15年，已达退休年龄,区*****,父亲已到退休年龄，购买社保未满15年。是否可以一次性补交？,2017-05-22 14:40:34,市人力资源和社会保障局,办结
尊敬的市民，您好！请您再次下单补充事情发生的时间和所需反映的具体内容，或者拨打我们热线12345进行反映，感谢您对我们热线的关注与支持。,注射剂遗漏不解决,叶*****,事发上冲医院，由窗口发药，注射剂与口服药在同一塑料袋，结果把一支注射剂遗漏在塑料袋里，护士也没问少了一支注射剂，是否补加不清，事发被发现，求解决，无果。,2017-05-22 14:20:41,市卫生和计划生育局,办结
已致电张先生，解答了张先生关于组织机构代码注销的相关问题。,注销组织机构代码证,张*****,广东中人集团建设有限公司珠海分公司需注销组织机构代码证，请问如何办理？相关表格在那下载？办事地址在那？,2017-05-22 10:33:49,市质量技术监督局,办结
尊敬的市民，您好！如申请住房公积金偿还银行贷款请您补充您的详细信息（身份证号，姓名）以便部门为您解答或者拨打12345热线咨询，感谢您对我们工作的支持。,为什么网上申报多次不能办理,沈*****,近一个月来，申请住房公积金偿还银行贷款多次，每次显示都是申请重复，不成功。不知道是什么原因，请予以解答，谢谢！,2017-05-21 10:39:01,市住房公积金管理中心,办结
尊敬的市民，您好！人才引进申请员工参保做用工备案单位和实际上班单位需要一致，属劳务派遣人员的，须同时提供《劳动合同书》和《劳务派遣协议》，且须符合《劳动合同法》第五章第二节劳务派遣的有关规定）；感谢您对我们工作的支持。,人才引进,黄*****,你好，我目前分别同时在两家私人公司工作，社保是A公司买的，但是我的高级技能证书是在B公司工作岗位使用的，B公司没有购买社保，请问我应该怎么去申请人才引进入户珠海呢？,2017-05-21 02:04:01,市人力资源和社会保障局,办结
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,人才引进,杨*****,在点击“申请直接核准引进”进入界面后，在“引进类型”里面选择与我相应的“非全日制本科以上学历人员”后，即弹出对话框“用工备案/参保单位与当前申报单位不一致，请按规定变更一致后再行申报”。往下无法填入姓名及身份证信息。我老公也进行了同样尝试，也是弹出此窗口。此窗口回复过于生硬，未解释清楚为何不一致，也不知是按什么规定，请确认需要进行什么操作还是此系统出错。,2017-05-20 09:40:30,市人力资源和社会保障局,办结
"尊敬的市民，您好！您已有单，单号111705206777301，该单已转部门跟进，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。感谢您对我热线的支持和理解,谢谢。",本人身份信息被冒用于企业登记的投诉维权,李*****,本人近日发现本人身份信息于2016.01.15及2016.3.11被冒用，分别在珠海市工商行政管理局及珠海市横琴新区工商行政管理局注册“珠海御之品贸易有限公司”及“珠海中鑫皇贸易有限公司。但本人从未亲自或委托他人办理过此业务，系身份证被非法盗用，我已在户口所在地报案。请你单位核实当时企业登记手续是否完备，是否核查过法人身份证原件。且按我国《公司法》规定一个自然人只能投资设立一个一人有限责任公司，为何我名下仍有两个一人有限责任公司？请与核实！介于此违法冒名情况已影响我工作生活，且未来有违法犯罪的可能，请你单位尽快查验当时登记开立的情况，并尽快给予我回复.谢谢！本人申明不对上述企业的违法行为承担法律责任！,2017-05-20 00:00:20,市工商局,办结
"尊敬的市民，您好！公积金提取是可以把帐户上的金额都提取出来，不能在异地提取，办理手续：办理地点：

      有公积金业务的缴存银行网点办理。

所需资料: (以下证件.资料需要原件) 

1) 身份证 

2) 已封存的个人住房公积金存折 或公积金联名卡

3) 与原单位终止劳动关系或解除劳动合同证明，或我市社保部门出具的基本养老保险缴费明细（或转出）证明。注：养老保险停保证明其实是社保缴费凭证；以上证明要相应的单位盖公章

 

感谢您对我们工作的支持。",外市辞职后公积金问题,杨*****,1.外市在珠海工作近一年。2.还没办理公积金联名卡的。3.辞职后还没找到新工作，想将公积金提出。（符合提公积金的条件）问题：. 1. 请问，提取的时候能将自己和公司所交的都提取吗。  2. 如果可以提取，那么手续前后是怎么样的。我看网上说的都很范。  3. 是否可以异地（外市）提取呢？,2017-05-19 16:36:02,市住房公积金管理中心,办结
人才引进是一项严谨的工作，受理窗口经办工作人员有义务认真审核申请人的基本材料，按《珠海市人才引进核准服务事项办事指南》的规定，窗口审核的办理时限特殊情况下是30个工作日。我局将会尽快安排工作人员和时间到其所在工作单位进行现场核查，核实申请人基本申报信息真实性后再根据情况办理。,人才引进-上访是一个什么流程？,范*****,尊敬的领导：你们好！我想咨询一下人才引进-上访是一个什么样的流程。网上预审通过，5月16号去窗口提交资料，结果资料没收，被带回来了，说是要去公司上访。16号当天工作人员说要提供工资银行卡的流水，急忙忙的去银行打工资卡的流水，结果说工资卡的流水体现不出工资，需要上访公司。问多久能上访公司，工作人员告知最快2周，预计是一个月之后才能上访我们公司。人才引进-上访是一个什么样的流程？为什么要这么久，我去窗口提交的资料，为什么不收我的资料呢？提交资料和资料本身都是有时效性的，上访时间这么久，会有什么影响吗？在珠海市人才引进核准服务事项办事指南中，窗口提交资料5个工作日内给出答复，并没有上访这一流程。而且我们公司每一个月都会给我们买社保，公积金，这样还不能体现公司的存在性吗？疑问比较多，重点还是比较关心什么时候能办理好人才引进的事情，心里比较着急。烦请各位领导指点一下，谢谢！,2017-05-19 13:40:31,横琴新区,办结
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,关于加快入户材料核准预审的说明,董*****,工作人员辛苦了！本人户籍在广东省内其他市，目前存在小孩2017下学期转入珠海本地就学需求。现个人入户核准材料已经通过单位审核。因小孩入学需要，请在允许情况下加快核准为盼，非常感谢！,2017-05-18 22:21:34,市人力资源和社会保障局,办结
"市民郭泽潮，您好！
  您关于查询珠海市香洲区城市总体规划事宜的《行政投诉拟办表》（流水号：111705186771901）收悉。
经联系您并告知信息获取途径，您已通过珠海市住房和城乡规划建设信息网查询《珠海市城市总体规划（2001—2020年）（2015年修订）》获取所需信息。
专此函复。感谢您对我们工作的支持和理解！",珠海市香洲区总体规划,郭*****,查询珠海市香洲区城市总体规划,2017-05-18 21:09:14,市住房和城乡规划建设局,办结
尊敬的市民，您好！珠海社保卡暂时还没有开通绑定家人的名字的功能，感谢您对我们工作的支持。,请问外地户籍珠海社保能绑定家人吗,周*****,您好。请问珠海是否有政策社保卡可以绑定家人？我是外省户籍，在珠海工作参加社保，可以将我小孩的绑定在我的卡上吗？盼复谢谢,2017-05-18 19:15:23,市人力资源和社会保障局,办结
尊敬的市民，您好！医疗保险中断不超过三个月报销限额是重新计算，医疗保险参保年限累计是不受影响的，基本医疗缴费年限是20年大病医疗是25年，如领取养老金医疗年限达不到规定的年限要继续缴纳医疗费。职工医疗保险参保人和外来劳务人员大病医疗保险参保人达到法定退休年龄，符合本通知规定续缴情形的，可根据其缴费年限情况，以个人身份申请按以下规定续缴: 1.累计年限满20年、实际年限不满10年的，应逐月续缴至规定的实际年限。2.实际年限满10年、累计年限不满20年的，应逐月续缴至规定的累计年限。其中，续缴五年后可申请一次性趸缴未满年限。3.实际年限不满10年、累计年限不满20年的，应逐月续缴至规定的年限。当实际年限已满，且累计年限的逐月续缴时间满五年的，可申请一次性趸缴未满年限。感谢您对我们工作的支持。,医疗保险年限,郑*****,你好，想咨询两个问题，一、医疗保险如果中断了四个月，是不是之前累积的年限都作废了？需要重新计算年限？二、如果退休了，由于中断的原因造成无法累积够20年的话，医疗保险的享受会收到什么样的限制？,2017-05-18 17:34:46,市人力资源和社会保障局,办结
尊敬的市民，您好！因目前义务入学的权限已下放至区，请您再次下单补充您所需咨询的义务入学的所在区，以便部门解答您的问题。,小学生报名,陈*****,我通过人才引进入户珠海，现在派出所已经受理准许落户，准迁证还在审核中，可是等办下来要到6月份，这样就错过了公办学校小学生报名时间，请问这种情况我该如何处理，有没可能推迟报名呢？,2017-05-18 17:27:49,市教育局,办结
贵中心转来关于办理《珠海市计生证明》的信件已收悉，现回复如下：已电话告知本人到前山街道办计生办办理。前山计生办电话8621101。,关于办理《珠海市计生证明》,裴*****,办理《珠海市计生证明》需要哪些资料？流程是怎样？我在网上查询和电话咨询的结果都不一样，做为未婚单身男性，民政局可以查到我的婚姻状况，为何还需要出示计生证明？,2017-05-18 17:19:17,市卫生和计划生育局,办结
尊敬的市民，您好！生育津贴发放规定：如员工满足分娩当月和前一个月在本市通过单位参生育保险的前提下，同时符合国家生育政策的，分娩时连续参加生育保险足12个月的条件且申请生育医疗费用的时间为2017年3月1日后的，根据《关于调整珠海市职工生育保险生育津贴发放方式有关问题的通知》（http://www.zhsi.gov.cn/zhsi_news/subpage_content.jsp?bm=bm06&cid;=19&id;=27927），生育津贴将划入单位缴纳社保的银行账号。分娩女职工在产假期间的工资将由用人单位按照女职工原工资标准（原工资标准，是指女职工依法享受产假或者计划生育手术假前12个月的月平均工资）正常支付工资。生育津贴发放到单位帐户上单位是不需要去申请，员工生育医疗费报销后的次次月初按月发放到单位社保缴费帐户上，顺产按3个月发剖腹产按4个月发放，感谢您对我们工作的支持！,产假工资,苏*****,80天的奖励假工资由单位支付，其余产假期间的工资由人社局支付。人社局直接支付给产妇还是由单位支付后申报报销？报销程序？,2017-05-18 15:20:58,市人力资源和社会保障局,办结
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,无法在线签署托管协议,孙*****,本人为2017年应届毕业生，档案已由学校寄至珠海市人力资源和社会保障局。按照流程，应签署档案托管协议。但本人在网上服务平台提交签署协议申请时，一直提示系统错误，且平台服务电话（2125835）始终无法打通。,2017-05-18 15:01:09,市人力资源和社会保障局,办结
尊敬的市民，您好！如在网上打印社保凭证，凭证上是有人社局的公章，感谢您对我们工作的支持。,关于网上打印社保证明的问题,李*****,如果在网上打印社保证明的话，社保局的章还有没有在里面的？,2017-05-18 10:35:34,市人力资源和社会保障局,办结
"尊敬的市民，您好！孕检医院需要更换：提供1、申请人本人社会保障卡，代为申领的，还须提供代领人身份证 ；  
2、工作单位或住址变更的有效证明材料（如：合同书或单位出具的证明加盖公章，房产证或户口本）到市社保中心各办事处办理，感谢您对我们工作的支持。",孕检医院更换,胡*****,怎样才可以更换孕检医院，因检查不方便，现在想换一家定点孕检医院,2017-05-18 08:15:10,市卫生和计划生育局,办结
